,,Cavs Legion GC,Godddof2k,Tip Off,5 ,52 ,12 ,4 ,3.0 ,5 ,– ,5 ,– ,5 ,38 ,20 ,53% ,62% ,19 ,13 ,68% ,19 ,7 ,37% ,5 ,5 ,100% ,4 ,8 ,,10.4 ,2.4 ,0.8 ,3.0 ,1.0 ,– ,1.0 ,– ,1.0 ,7.6 ,4.0 ,53% ,62% ,3.8 ,2.6 ,68% ,3.8 ,1.4 ,37% ,1.0 ,1.0 ,100% ,0.8 ,1.6 
,,Cavs Legion GC,Godddof2k,Regular Season,14 ,220 ,23 ,20 ,1.2 ,33 ,16 ,81 ,19 ,62 ,164 ,99 ,60% ,62% ,159 ,95 ,60% ,5 ,4 ,80% ,20 ,18 ,90% ,20 ,38 ,,15.7 ,1.6 ,1.4 ,1.2 ,2.4 ,1.1 ,5.8 ,1.4 ,4.4 ,11.7 ,7.1 ,60% ,62% ,11.4 ,6.8 ,60% ,0.4 ,0.3 ,80% ,1.4 ,1.3 ,90% ,1.4 ,2.7 
,,Cavs Legion GC,Godddof2k,Playoffs,4 ,44 ,2 ,– ,– ,5 ,– ,1 ,– ,1 ,26 ,17 ,65% ,79% ,17 ,10 ,59% ,9 ,7 ,78% ,3 ,3 ,100% ,3 ,7 ,,11.0 ,0.5 ,– ,– ,1.3 ,– ,0.3 ,– ,0.3 ,6.5 ,4.3 ,65% ,79% ,4.3 ,2.5 ,59% ,2.3 ,1.8 ,78% ,0.8 ,0.8 ,100% ,0.8 ,1.8 
,,Cavs Legion GC,Godddof2k,Mid-Season Tournament 2,3 ,18 ,3 ,2 ,1.5 ,7 ,3 ,25 ,6 ,19 ,16 ,8 ,50% ,53% ,11 ,7 ,64% ,5 ,1 ,20% ,2 ,1 ,50% ,– ,8 ,,6.0 ,1.0 ,0.7 ,1.5 ,2.3 ,1.0 ,8.3 ,2.0 ,6.3 ,5.3 ,2.7 ,50% ,53% ,3.7 ,2.3 ,64% ,1.7 ,0.3 ,20% ,0.7 ,0.3 ,50% ,– ,2.7 
,,Cavs Legion GC,Godddof2k,Mid-Season Tournament 1,1 ,18 ,5 ,1 ,5.0 ,– ,1 ,6 ,3 ,3 ,13 ,7 ,54% ,54% ,13 ,7 ,54% ,– ,– ,-,6 ,4 ,67% ,4 ,1 ,,18.0 ,5.0 ,1.0 ,5.0 ,– ,1.0 ,6.0 ,3.0 ,3.0 ,13.0 ,7.0 ,54% ,54% ,13.0 ,7.0 ,54% ,– ,– ,-,6.0 ,4.0 ,67% ,4.0 ,1.0 
,,Cavs Legion GC,Hood,Tip Off,5 ,175 ,38 ,12 ,3.2 ,5 ,4 ,21 ,5 ,16 ,112 ,79 ,71% ,71% ,109 ,78 ,72% ,3 ,1 ,33% ,17 ,16 ,94% ,25 ,9 ,,35.0 ,7.6 ,2.4 ,3.2 ,1.0 ,0.8 ,4.2 ,1.0 ,3.2 ,22.4 ,15.8 ,71% ,71% ,21.8 ,15.6 ,72% ,0.6 ,0.2 ,33% ,3.4 ,3.2 ,94% ,5.0 ,1.8 
,,Cavs Legion GC,Hood,Regular Season,8 ,182 ,43 ,20 ,2.2 ,13 ,8 ,52 ,16 ,36 ,135 ,79 ,59% ,60% ,122 ,75 ,62% ,13 ,4 ,31% ,26 ,20 ,77% ,24 ,8 ,,22.8 ,5.4 ,2.5 ,2.2 ,1.6 ,1.0 ,6.5 ,2.0 ,4.5 ,16.9 ,9.9 ,59% ,60% ,15.3 ,9.4 ,62% ,1.6 ,0.5 ,31% ,3.3 ,2.5 ,77% ,3.0 ,1.0 
,,Cavs Legion GC,Hood,Playoffs,4 ,113 ,58 ,7 ,8.3 ,4 ,– ,1 ,– ,1 ,96 ,45 ,47% ,52% ,72 ,36 ,50% ,24 ,9 ,38% ,15 ,14 ,93% ,18 ,6 ,,28.3 ,14.5 ,1.8 ,8.3 ,1.0 ,– ,0.3 ,– ,0.3 ,24.0 ,11.3 ,47% ,52% ,18.0 ,9.0 ,50% ,6.0 ,2.3 ,38% ,3.8 ,3.5 ,93% ,4.5 ,1.5 
,,Cavs Legion GC,Hood,Mid-Season Tournament 2,3 ,132 ,10 ,13 ,0.8 ,4 ,1 ,20 ,8 ,12 ,83 ,62 ,75% ,75% ,83 ,62 ,75% ,– ,– ,-,10 ,8 ,80% ,13 ,5 ,,44.0 ,3.3 ,4.3 ,0.8 ,1.3 ,0.3 ,6.7 ,2.7 ,4.0 ,27.7 ,20.7 ,75% ,75% ,27.7 ,20.7 ,75% ,– ,– ,-,3.3 ,2.7 ,80% ,4.3 ,1.7 
,,Cavs Legion GC,Hood,Mid-Season Tournament 1,1 ,7 ,9 ,8 ,1.1 ,– ,– ,– ,– ,– ,8 ,3 ,38% ,44% ,4 ,2 ,50% ,4 ,1 ,25% ,– ,– ,-,2 ,– ,,7.0 ,9.0 ,8.0 ,1.1 ,– ,– ,– ,– ,– ,8.0 ,3.0 ,38% ,44% ,4.0 ,2.0 ,50% ,4.0 ,1.0 ,25% ,– ,– ,-,2.0 ,– 
