,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
Heatcheck Gaming,24KDropOff,Finals,2 ,19 ,8 ,3 ,2.7 ,– ,– ,– ,– ,– ,15 ,8 ,53% ,63% ,6 ,5 ,83% ,9 ,3 ,33% ,– ,– ,-,– ,5 ,,9.5 ,4.0 ,1.5 ,2.7 ,– ,– ,– ,– ,– ,7.5 ,4.0 ,53% ,63% ,3.0 ,2.5 ,83% ,4.5 ,1.5 ,33% ,– ,– ,-,– ,2.5 
Knicks Gaming,Goofy757,Finals,2 ,30 ,13 ,4 ,3.3 ,– ,1 ,23 ,15 ,8 ,22 ,15 ,68% ,68% ,21 ,15 ,71% ,1 ,– ,– ,3 ,– ,– ,2 ,1 ,,15.0 ,6.5 ,2.0 ,3.3 ,– ,0.5 ,11.5 ,7.5 ,4.0 ,11.0 ,7.5 ,68% ,68% ,10.5 ,7.5 ,71% ,0.5 ,– ,– ,1.5 ,– ,– ,1.0 ,0.5 
Heatcheck Gaming,Hotshot,Finals,2 ,82 ,16 ,5 ,3.2 ,2 ,1 ,12 ,5 ,7 ,47 ,38 ,81% ,81% ,47 ,38 ,81% ,– ,– ,-,7 ,6 ,86% ,7 ,5 ,,41.0 ,8.0 ,2.5 ,3.2 ,1.0 ,0.5 ,6.0 ,2.5 ,3.5 ,23.5 ,19.0 ,81% ,81% ,23.5 ,19.0 ,81% ,– ,– ,-,3.5 ,3.0 ,86% ,3.5 ,2.5 
Knicks Gaming,IamAdamthe1st,Finals,2 ,46 ,20 ,5 ,4.0 ,– ,– ,3 ,2 ,1 ,43 ,17 ,40% ,48% ,27 ,10 ,37% ,16 ,7 ,44% ,6 ,5 ,83% ,8 ,2 ,,23.0 ,10.0 ,2.5 ,4.0 ,– ,– ,1.5 ,1.0 ,0.5 ,21.5 ,8.5 ,40% ,48% ,13.5 ,5.0 ,37% ,8.0 ,3.5 ,44% ,3.0 ,2.5 ,83% ,4.0 ,1.0 
Knicks Gaming,Idrisdagoat6,Finals,2 ,23 ,1 ,– ,– ,1 ,– ,9 ,1 ,8 ,11 ,9 ,82% ,91% ,8 ,7 ,88% ,3 ,2 ,67% ,3 ,3 ,100% ,5 ,1 ,,11.5 ,0.5 ,– ,– ,0.5 ,– ,4.5 ,0.5 ,4.0 ,5.5 ,4.5 ,82% ,91% ,4.0 ,3.5 ,88% ,1.5 ,1.0 ,67% ,1.5 ,1.5 ,100% ,2.5 ,0.5 
Heatcheck Gaming,Jalen03303,Finals,2 ,14 ,2 ,1 ,2.0 ,– ,1 ,7 ,2 ,5 ,12 ,7 ,58% ,58% ,11 ,7 ,64% ,1 ,– ,– ,– ,– ,-,– ,2 ,,7.0 ,1.0 ,0.5 ,2.0 ,– ,0.5 ,3.5 ,1.0 ,2.5 ,6.0 ,3.5 ,58% ,58% ,5.5 ,3.5 ,64% ,0.5 ,– ,– ,– ,– ,-,– ,1.0 
Heatcheck Gaming,Majes7ic,Finals,2 ,11 ,2 ,– ,– ,3 ,5 ,9 ,– ,9 ,8 ,4 ,50% ,69% ,1 ,1 ,100% ,7 ,3 ,43% ,– ,– ,-,1 ,4 ,,5.5 ,1.0 ,– ,– ,1.5 ,2.5 ,4.5 ,– ,4.5 ,4.0 ,2.0 ,50% ,69% ,0.5 ,0.5 ,100% ,3.5 ,1.5 ,43% ,– ,– ,-,0.5 ,2.0 
Knicks Gaming,Natekahl,Finals,2 ,16 ,2 ,1 ,2.0 ,5 ,4 ,6 ,2 ,4 ,12 ,5 ,42% ,58% ,3 ,1 ,33% ,9 ,4 ,44% ,2 ,2 ,100% ,1 ,4 ,,8.0 ,1.0 ,0.5 ,2.0 ,2.5 ,2.0 ,3.0 ,1.0 ,2.0 ,6.0 ,2.5 ,42% ,58% ,1.5 ,0.5 ,33% ,4.5 ,2.0 ,44% ,1.0 ,1.0 ,100% ,0.5 ,2.0 
Heatcheck Gaming,Sharpshooterlos,Finals,2 ,11 ,3 ,1 ,3.0 ,1 ,1 ,2 ,– ,2 ,11 ,4 ,36% ,45% ,7 ,2 ,29% ,4 ,2 ,50% ,1 ,1 ,100% ,– ,2 ,,5.5 ,1.5 ,0.5 ,3.0 ,0.5 ,0.5 ,1.0 ,– ,1.0 ,5.5 ,2.0 ,36% ,45% ,3.5 ,1.0 ,29% ,2.0 ,1.0 ,50% ,0.5 ,0.5 ,100% ,– ,1.0 
Knicks Gaming,Yeynotgaming,Finals,2 ,28 ,– ,– ,– ,– ,– ,– ,– ,– ,13 ,10 ,77% ,96% ,7 ,5 ,71% ,6 ,5 ,83% ,3 ,3 ,100% ,2 ,– ,,14.0 ,– ,– ,– ,– ,– ,– ,– ,– ,6.5 ,5.0 ,77% ,96% ,3.5 ,2.5 ,71% ,3.0 ,2.5 ,83% ,1.5 ,1.5 ,100% ,1.0 ,– 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGs per game,,,,28 ,7 ,2 ,2.9 ,1 ,1 ,7 ,3 ,4 ,19 ,12 ,59% ,68% ,14 ,9 ,65.69,6 ,3 ,40% ,3 ,2 ,81% ,3 ,3 ,#DIV/0!,14.0 ,3.4 ,1.0 ,2.9 ,0.6 ,0.7 ,3.6 ,1.4 ,2.2 ,9.7 ,5.9 ,59% ,68% ,6.9 ,4.6 ,66% ,2.8 ,1.3 ,40% ,1.3 ,1.0 ,81% ,1.3 ,1.3 
