,,Kings Guard Gaming,Coleworld2k,Regular Season,10 ,93 ,18 ,15 ,1.2 ,9 ,5 ,28 ,3 ,25 ,64 ,36 ,56% ,71% ,24 ,17 ,71% ,40 ,19 ,48% ,2 ,2 ,100% ,4 ,9 ,,9.3 ,1.8 ,1.5 ,1.2 ,0.9 ,0.5 ,2.8 ,0.3 ,2.5 ,6.4 ,3.6 ,56% ,71% ,2.4 ,1.7 ,71% ,4.0 ,1.9 ,48% ,0.2 ,0.2 ,100% ,0.4 ,0.9 
,,Kings Guard Gaming,Coleworld2k,Mid-Season Tournament 2,3 ,20 ,2 ,– ,– ,– ,– ,8 ,1 ,7 ,14 ,7 ,50% ,71% ,2 ,1 ,50% ,12 ,6 ,50% ,– ,– ,-,– ,3 ,,6.7 ,0.7 ,– ,– ,– ,– ,2.7 ,0.3 ,2.3 ,4.7 ,2.3 ,50% ,71% ,0.7 ,0.3 ,50% ,4.0 ,2.0 ,50% ,– ,– ,-,– ,1.0 
,,Kings Guard Gaming,Coleworld2k,Mid-Season Tournament 1,1 ,12 ,2 ,– ,– ,2 ,– ,1 ,– ,1 ,8 ,4 ,50% ,75% ,1 ,– ,– ,7 ,4 ,57% ,– ,– ,-,1 ,1 ,,12.0 ,2.0 ,– ,– ,2.0 ,– ,1.0 ,– ,1.0 ,8.0 ,4.0 ,50% ,75% ,1.0 ,– ,– ,7.0 ,4.0 ,57% ,– ,– ,-,1.0 ,1.0 
,,Kings Guard Gaming,Cowboyxcollazo,Tip Off,3 ,27 ,4 ,– ,– ,1 ,– ,2 ,– ,2 ,18 ,9 ,50% ,64% ,5 ,4 ,80% ,13 ,5 ,39% ,4 ,4 ,100% ,4 ,2 ,,9.0 ,1.3 ,– ,– ,0.3 ,– ,0.7 ,– ,0.7 ,6.0 ,3.0 ,50% ,64% ,1.7 ,1.3 ,80% ,4.3 ,1.7 ,39% ,1.3 ,1.3 ,100% ,1.3 ,0.7 
,,Kings Guard Gaming,Cowboyxcollazo,Regular Season,4 ,78 ,15 ,3 ,5.0 ,2 ,1 ,8 ,5 ,3 ,56 ,32 ,57% ,62% ,45 ,27 ,60% ,11 ,5 ,45% ,9 ,9 ,100% ,11 ,1 ,,19.5 ,3.8 ,0.8 ,5.0 ,0.5 ,0.3 ,2.0 ,1.3 ,0.8 ,14.0 ,8.0 ,57% ,62% ,11.3 ,6.8 ,60% ,2.8 ,1.3 ,45% ,2.3 ,2.3 ,100% ,2.8 ,0.3 
,,Kings Guard Gaming,Mootyy,Tip Off,3 ,31 ,7 ,5 ,1.4 ,4 ,2 ,18 ,5 ,13 ,28 ,13 ,46% ,52% ,20 ,10 ,50% ,8 ,3 ,38% ,3 ,2 ,67% ,4 ,5 ,,10.3 ,2.3 ,1.7 ,1.4 ,1.3 ,0.7 ,6.0 ,1.7 ,4.3 ,9.3 ,4.3 ,46% ,52% ,6.7 ,3.3 ,50% ,2.7 ,1.0 ,38% ,1.0 ,0.7 ,67% ,1.3 ,1.7 
,,Kings Guard Gaming,Mootyy,Regular Season,14 ,187 ,44 ,29 ,1.5 ,11 ,18 ,114 ,48 ,66 ,135 ,75 ,56% ,63% ,100 ,56 ,56% ,35 ,19 ,54% ,28 ,18 ,64% ,19 ,39 ,,13.4 ,3.1 ,2.1 ,1.5 ,0.8 ,1.3 ,8.1 ,3.4 ,4.7 ,9.6 ,5.4 ,56% ,63% ,7.1 ,4.0 ,56% ,2.5 ,1.4 ,54% ,2.0 ,1.3 ,64% ,1.4 ,2.8 
,,Kings Guard Gaming,Mootyy,Mid-Season Tournament 2,3 ,81 ,4 ,6 ,0.7 ,3 ,4 ,38 ,21 ,17 ,46 ,36 ,78% ,78% ,46 ,36 ,78% ,– ,– ,-,16 ,9 ,56% ,9 ,9 ,,27.0 ,1.3 ,2.0 ,0.7 ,1.0 ,1.3 ,12.7 ,7.0 ,5.7 ,15.3 ,12.0 ,78% ,78% ,15.3 ,12.0 ,78% ,– ,– ,-,5.3 ,3.0 ,56% ,3.0 ,3.0 
,,Kings Guard Gaming,Mootyy,Mid-Season Tournament 1,1 ,18 ,3 ,4 ,0.8 ,3 ,1 ,5 ,2 ,3 ,13 ,9 ,69% ,69% ,13 ,9 ,69% ,– ,– ,-,– ,– ,-,1 ,2 ,,18.0 ,3.0 ,4.0 ,0.8 ,3.0 ,1.0 ,5.0 ,2.0 ,3.0 ,13.0 ,9.0 ,69% ,69% ,13.0 ,9.0 ,69% ,– ,– ,-,– ,– ,-,1.0 ,2.0 
,,Kings Guard Gaming,Safiya4ya,Tip Off,3 ,24 ,5 ,4 ,1.3 ,3 ,– ,11 ,– ,11 ,20 ,9 ,45% ,60% ,5 ,3 ,60% ,15 ,6 ,40% ,– ,– ,-,3 ,1 ,,8.0 ,1.7 ,1.3 ,1.3 ,1.0 ,– ,3.7 ,– ,3.7 ,6.7 ,3.0 ,45% ,60% ,1.7 ,1.0 ,60% ,5.0 ,2.0 ,40% ,– ,– ,-,1.0 ,0.3 
