,,Knicks Gaming,Goofy757,Tip Off,3 ,54 ,10 ,7 ,1.4 ,5 ,1 ,21 ,6 ,15 ,38 ,22 ,58% ,61% ,28 ,20 ,71% ,10 ,2 ,20% ,9 ,8 ,89% ,7 ,9 ,,18.0 ,3.3 ,2.3 ,1.4 ,1.7 ,0.3 ,7.0 ,2.0 ,5.0 ,12.7 ,7.3 ,58% ,61% ,9.3 ,6.7 ,71% ,3.3 ,0.7 ,20% ,3.0 ,2.7 ,89% ,2.3 ,3.0 
,,Knicks Gaming,Goofy757,Regular Season,14 ,320 ,40 ,25 ,1.6 ,27 ,14 ,145 ,73 ,72 ,219 ,146 ,67% ,67% ,217 ,146 ,67% ,2 ,– ,– ,30 ,28 ,93% ,23 ,27 ,,22.9 ,2.9 ,1.8 ,1.6 ,1.9 ,1.0 ,10.4 ,5.2 ,5.1 ,15.6 ,10.4 ,67% ,67% ,15.5 ,10.4 ,67% ,0.1 ,– ,– ,2.1 ,2.0 ,93% ,1.6 ,1.9 
,,Knicks Gaming,Goofy757,Playoffs,4 ,93 ,8 ,7 ,1.1 ,3 ,12 ,55 ,24 ,31 ,59 ,44 ,75% ,75% ,59 ,44 ,75% ,– ,– ,-,8 ,5 ,63% ,5 ,9 ,,23.3 ,2.0 ,1.8 ,1.1 ,0.8 ,3.0 ,13.8 ,6.0 ,7.8 ,14.8 ,11.0 ,75% ,75% ,14.8 ,11.0 ,75% ,– ,– ,-,2.0 ,1.3 ,63% ,1.3 ,2.3 
,,Knicks Gaming,Goofy757,Mid-Season Tournament 2,4 ,68 ,21 ,7 ,3.0 ,9 ,5 ,50 ,24 ,26 ,53 ,31 ,59% ,59% ,53 ,31 ,59% ,– ,– ,-,12 ,6 ,50% ,12 ,2 ,,17.0 ,5.3 ,1.8 ,3.0 ,2.3 ,1.3 ,12.5 ,6.0 ,6.5 ,13.3 ,7.8 ,59% ,59% ,13.3 ,7.8 ,59% ,– ,– ,-,3.0 ,1.5 ,50% ,3.0 ,0.5 
,,Knicks Gaming,Goofy757,Mid-Season Tournament 1,3 ,60 ,2 ,8 ,0.3 ,7 ,2 ,29 ,12 ,17 ,39 ,24 ,62% ,64% ,36 ,22 ,61% ,3 ,2 ,67% ,12 ,10 ,83% ,9 ,4 ,,20.0 ,0.7 ,2.7 ,0.3 ,2.3 ,0.7 ,9.7 ,4.0 ,5.7 ,13.0 ,8.0 ,62% ,64% ,12.0 ,7.3 ,61% ,1.0 ,0.7 ,67% ,4.0 ,3.3 ,83% ,3.0 ,1.3 
,,Knicks Gaming,Goofy757,Finals,2 ,30 ,13 ,4 ,3.3 ,– ,1 ,23 ,15 ,8 ,22 ,15 ,68% ,68% ,21 ,15 ,71% ,1 ,– ,– ,3 ,– ,– ,2 ,1 ,,15.0 ,6.5 ,2.0 ,3.3 ,– ,0.5 ,11.5 ,7.5 ,4.0 ,11.0 ,7.5 ,68% ,68% ,10.5 ,7.5 ,71% ,0.5 ,– ,– ,1.5 ,– ,– ,1.0 ,0.5 
,,Knicks Gaming,IamAdamthe1st,Tip Off,3 ,42 ,27 ,9 ,3.0 ,5 ,– ,1 ,– ,1 ,31 ,15 ,48% ,55% ,18 ,11 ,61% ,13 ,4 ,31% ,8 ,8 ,100% ,12 ,5 ,,14.0 ,9.0 ,3.0 ,3.0 ,1.7 ,– ,0.3 ,– ,0.3 ,10.3 ,5.0 ,48% ,55% ,6.0 ,3.7 ,61% ,4.3 ,1.3 ,31% ,2.7 ,2.7 ,100% ,4.0 ,1.7 
,,Knicks Gaming,IamAdamthe1st,Regular Season,14 ,208 ,165 ,50 ,3.3 ,13 ,1 ,9 ,2 ,7 ,178 ,75 ,42% ,52% ,94 ,39 ,42% ,84 ,36 ,43% ,26 ,22 ,85% ,49 ,39 ,,14.9 ,11.8 ,3.6 ,3.3 ,0.9 ,0.1 ,0.6 ,0.1 ,0.5 ,12.7 ,5.4 ,42% ,52% ,6.7 ,2.8 ,42% ,6.0 ,2.6 ,43% ,1.9 ,1.6 ,85% ,3.5 ,2.8 
,,Knicks Gaming,IamAdamthe1st,Playoffs,4 ,121 ,45 ,15 ,3.0 ,5 ,1 ,9 ,5 ,4 ,87 ,48 ,55% ,63% ,59 ,34 ,58% ,28 ,14 ,50% ,11 ,11 ,100% ,20 ,9 ,,30.3 ,11.3 ,3.8 ,3.0 ,1.3 ,0.3 ,2.3 ,1.3 ,1.0 ,21.8 ,12.0 ,55% ,63% ,14.8 ,8.5 ,58% ,7.0 ,3.5 ,50% ,2.8 ,2.8 ,100% ,5.0 ,2.3 
,,Knicks Gaming,IamAdamthe1st,Mid-Season Tournament 2,4 ,107 ,31 ,9 ,3.4 ,1 ,– ,5 ,2 ,3 ,68 ,40 ,59% ,74% ,32 ,20 ,63% ,36 ,20 ,56% ,7 ,7 ,100% ,9 ,12 ,,26.8 ,7.8 ,2.3 ,3.4 ,0.3 ,– ,1.3 ,0.5 ,0.8 ,17.0 ,10.0 ,59% ,74% ,8.0 ,5.0 ,63% ,9.0 ,5.0 ,56% ,1.8 ,1.8 ,100% ,2.3 ,3.0 
,,Knicks Gaming,IamAdamthe1st,Mid-Season Tournament 1,3 ,47 ,31 ,13 ,2.4 ,3 ,– ,1 ,– ,1 ,32 ,18 ,56% ,63% ,23 ,14 ,61% ,9 ,4 ,44% ,7 ,7 ,100% ,10 ,10 ,,15.7 ,10.3 ,4.3 ,2.4 ,1.0 ,– ,0.3 ,– ,0.3 ,10.7 ,6.0 ,56% ,63% ,7.7 ,4.7 ,61% ,3.0 ,1.3 ,44% ,2.3 ,2.3 ,100% ,3.3 ,3.3 
