,,Mavs Gaming,BallLikeSeem,Tip Off,5 ,58 ,6 ,7 ,0.9 ,5 ,– ,– ,– ,– ,31 ,24 ,77% ,89% ,20 ,17 ,85% ,11 ,7 ,64% ,3 ,3 ,100% ,2 ,2 ,,11.6 ,1.2 ,1.4 ,0.9 ,1.0 ,– ,– ,– ,– ,6.2 ,4.8 ,77% ,89% ,4.0 ,3.4 ,85% ,2.2 ,1.4 ,64% ,0.6 ,0.6 ,100% ,0.4 ,0.4 
,,Mavs Gaming,BallLikeSeem,Regular Season,14 ,196 ,24 ,13 ,1.9 ,10 ,– ,8 ,2 ,6 ,126 ,75 ,60% ,69% ,82 ,51 ,62% ,44 ,24 ,55% ,25 ,22 ,88% ,15 ,6 ,,14.0 ,1.7 ,0.9 ,1.9 ,0.7 ,– ,0.6 ,0.1 ,0.4 ,9.0 ,5.4 ,60% ,69% ,5.9 ,3.6 ,62% ,3.1 ,1.7 ,55% ,1.8 ,1.6 ,88% ,1.1 ,0.4 
,,Mavs Gaming,BallLikeSeem,Mid-Season Tournament 2,2 ,14 ,2 ,– ,– ,3 ,– ,1 ,– ,1 ,9 ,4 ,44% ,56% ,4 ,2 ,50% ,5 ,2 ,40% ,4 ,4 ,100% ,4 ,– ,,7.0 ,1.0 ,– ,– ,1.5 ,– ,0.5 ,– ,0.5 ,4.5 ,2.0 ,44% ,56% ,2.0 ,1.0 ,50% ,2.5 ,1.0 ,40% ,2.0 ,2.0 ,100% ,2.0 ,– 
,,Mavs Gaming,BallLikeSeem,Mid-Season Tournament 1,2 ,31 ,5 ,4 ,1.3 ,3 ,– ,3 ,2 ,1 ,19 ,13 ,68% ,82% ,12 ,8 ,67% ,7 ,5 ,71% ,– ,– ,-,3 ,– ,,15.5 ,2.5 ,2.0 ,1.3 ,1.5 ,– ,1.5 ,1.0 ,0.5 ,9.5 ,6.5 ,68% ,82% ,6.0 ,4.0 ,67% ,3.5 ,2.5 ,71% ,– ,– ,-,1.5 ,– 
,,Mavs Gaming,Dayfri,Tip Off,5 ,114 ,11 ,9 ,1.2 ,11 ,– ,38 ,9 ,29 ,75 ,53 ,71% ,71% ,75 ,53 ,71% ,– ,– ,-,8 ,8 ,100% ,7 ,8 ,,22.8 ,2.2 ,1.8 ,1.2 ,2.2 ,– ,7.6 ,1.8 ,5.8 ,15.0 ,10.6 ,71% ,71% ,15.0 ,10.6 ,71% ,– ,– ,-,1.6 ,1.6 ,100% ,1.4 ,1.6 
,,Mavs Gaming,Dayfri,Regular Season,14 ,261 ,50 ,19 ,2.6 ,24 ,15 ,98 ,36 ,62 ,188 ,115 ,61% ,63% ,172 ,108 ,63% ,16 ,7 ,44% ,30 ,24 ,80% ,31 ,33 ,,18.6 ,3.6 ,1.4 ,2.6 ,1.7 ,1.1 ,7.0 ,2.6 ,4.4 ,13.4 ,8.2 ,61% ,63% ,12.3 ,7.7 ,63% ,1.1 ,0.5 ,44% ,2.1 ,1.7 ,80% ,2.2 ,2.4 
,,Mavs Gaming,Dayfri,Mid-Season Tournament 2,2 ,26 ,4 ,1 ,4.0 ,2 ,– ,1 ,1 ,– ,15 ,10 ,67% ,87% ,6 ,4 ,67% ,9 ,6 ,67% ,– ,– ,-,– ,3 ,,13.0 ,2.0 ,0.5 ,4.0 ,1.0 ,– ,0.5 ,0.5 ,– ,7.5 ,5.0 ,67% ,87% ,3.0 ,2.0 ,67% ,4.5 ,3.0 ,67% ,– ,– ,-,– ,1.5 
,,Mavs Gaming,Dayfri,Mid-Season Tournament 1,2 ,39 ,5 ,9 ,0.6 ,6 ,1 ,23 ,6 ,17 ,23 ,18 ,78% ,78% ,23 ,18 ,78% ,– ,– ,-,3 ,3 ,100% ,5 ,2 ,,19.5 ,2.5 ,4.5 ,0.6 ,3.0 ,0.5 ,11.5 ,3.0 ,8.5 ,11.5 ,9.0 ,78% ,78% ,11.5 ,9.0 ,78% ,– ,– ,-,1.5 ,1.5 ,100% ,2.5 ,1.0 
,,Mavs Gaming,Devillon,Tip Off,5 ,32 ,– ,– ,– ,– ,– ,3 ,3 ,– ,20 ,12 ,60% ,80% ,8 ,4 ,50% ,12 ,8 ,67% ,– ,– ,-,1 ,– ,,6.4 ,– ,– ,– ,– ,– ,0.6 ,0.6 ,– ,4.0 ,2.4 ,60% ,80% ,1.6 ,0.8 ,50% ,2.4 ,1.6 ,67% ,– ,– ,-,0.2 ,– 
,,Mavs Gaming,Devillon,Regular Season,7 ,56 ,– ,– ,– ,– ,– ,2 ,2 ,– ,38 ,21 ,55% ,74% ,13 ,7 ,54% ,25 ,14 ,56% ,– ,– ,-,1 ,– ,,8.0 ,– ,– ,– ,– ,– ,0.3 ,0.3 ,– ,5.4 ,3.0 ,55% ,74% ,1.9 ,1.0 ,54% ,3.6 ,2.0 ,56% ,– ,– ,-,0.1 ,– 
,,Mavs Gaming,Devillon,Mid-Season Tournament 2,2 ,10 ,– ,– ,– ,– ,– ,2 ,2 ,– ,8 ,4 ,50% ,63% ,4 ,2 ,50% ,4 ,2 ,50% ,– ,– ,-,– ,– ,,5.0 ,– ,– ,– ,– ,– ,1.0 ,1.0 ,– ,4.0 ,2.0 ,50% ,63% ,2.0 ,1.0 ,50% ,2.0 ,1.0 ,50% ,– ,– ,-,– ,– 
,,Mavs Gaming,Devillon,Mid-Season Tournament 1,2 ,12 ,– ,– ,– ,– ,– ,1 ,1 ,– ,11 ,5 ,45% ,55% ,6 ,3 ,50% ,5 ,2 ,40% ,– ,– ,-,– ,– ,,6.0 ,– ,– ,– ,– ,– ,0.5 ,0.5 ,– ,5.5 ,2.5 ,45% ,55% ,3.0 ,1.5 ,50% ,2.5 ,1.0 ,40% ,– ,– ,-,– ,– 
