,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
Heatcheck Gaming,24KDropOff,Mid-Season Tournament 2,1 ,4 ,3 ,1 ,3.0 ,4 ,4 ,3 ,1 ,2 ,5 ,2 ,40% ,40% ,5 ,2 ,40% ,– ,– ,-,– ,– ,-,– ,5 ,,4.0 ,3.0 ,1.0 ,3.0 ,4.0 ,4.0 ,3.0 ,1.0 ,2.0 ,5.0 ,2.0 ,40% ,40% ,5.0 ,2.0 ,40% ,– ,– ,-,– ,– ,-,– ,5.0 
Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 2,1 ,22 ,2 ,– ,– ,1 ,1 ,2 ,– ,2 ,16 ,9 ,56% ,69% ,8 ,5 ,63% ,8 ,4 ,50% ,– ,– ,-,1 ,2 ,,22.0 ,2.0 ,– ,– ,1.0 ,1.0 ,2.0 ,– ,2.0 ,16.0 ,9.0 ,56% ,69% ,8.0 ,5.0 ,63% ,8.0 ,4.0 ,50% ,– ,– ,-,1.0 ,2.0 
Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 1,2 ,28 ,2 ,2 ,1.0 ,– ,– ,1 ,– ,1 ,15 ,10 ,67% ,93% ,2 ,2 ,100% ,13 ,8 ,62% ,– ,– ,-,1 ,1 ,,14.0 ,1.0 ,1.0 ,1.0 ,– ,– ,0.5 ,– ,0.5 ,7.5 ,5.0 ,67% ,93% ,1.0 ,1.0 ,100% ,6.5 ,4.0 ,62% ,– ,– ,-,0.5 ,0.5 
Grizz Gaming,AuthenticAfrican,Mid-Season Tournament 2,1 ,21 ,11 ,5 ,2.2 ,– ,– ,3 ,– ,3 ,13 ,9 ,69% ,69% ,13 ,9 ,69% ,– ,– ,-,6 ,3 ,50% ,7 ,– ,,21.0 ,11.0 ,5.0 ,2.2 ,– ,– ,3.0 ,– ,3.0 ,13.0 ,9.0 ,69% ,69% ,13.0 ,9.0 ,69% ,– ,– ,-,6.0 ,3.0 ,50% ,7.0 ,– 
Grizz Gaming,AuthenticAfrican,Mid-Season Tournament 1,1 ,28 ,9 ,3 ,3.0 ,2 ,1 ,3 ,– ,3 ,15 ,12 ,80% ,90% ,11 ,9 ,82% ,4 ,3 ,75% ,1 ,1 ,100% ,4 ,3 ,,28.0 ,9.0 ,3.0 ,3.0 ,2.0 ,1.0 ,3.0 ,– ,3.0 ,15.0 ,12.0 ,80% ,90% ,11.0 ,9.0 ,82% ,4.0 ,3.0 ,75% ,1.0 ,1.0 ,100% ,4.0 ,3.0 
Grizz Gaming,Ayethreat,Mid-Season Tournament 2,1 ,7 ,4 ,1 ,4.0 ,– ,– ,– ,– ,– ,11 ,3 ,27% ,32% ,6 ,2 ,33% ,5 ,1 ,20% ,– ,– ,-,2 ,2 ,,7.0 ,4.0 ,1.0 ,4.0 ,– ,– ,– ,– ,– ,11.0 ,3.0 ,27% ,32% ,6.0 ,2.0 ,33% ,5.0 ,1.0 ,20% ,– ,– ,-,2.0 ,2.0 
Grizz Gaming,Ayethreat,Mid-Season Tournament 1,1 ,3 ,1 ,1 ,1.0 ,1 ,– ,– ,– ,– ,4 ,1 ,25% ,38% ,– ,– ,-,4 ,1 ,25% ,– ,– ,-,– ,3 ,,3.0 ,1.0 ,1.0 ,1.0 ,1.0 ,– ,– ,– ,– ,4.0 ,1.0 ,25% ,38% ,– ,– ,-,4.0 ,1.0 ,25% ,– ,– ,-,– ,3.0 
Mavs Gaming,BallLikeSeem,Mid-Season Tournament 2,2 ,14 ,2 ,– ,– ,3 ,– ,1 ,– ,1 ,9 ,4 ,44% ,56% ,4 ,2 ,50% ,5 ,2 ,40% ,4 ,4 ,100% ,4 ,– ,,7.0 ,1.0 ,– ,– ,1.5 ,– ,0.5 ,– ,0.5 ,4.5 ,2.0 ,44% ,56% ,2.0 ,1.0 ,50% ,2.5 ,1.0 ,40% ,2.0 ,2.0 ,100% ,2.0 ,– 
Mavs Gaming,BallLikeSeem,Mid-Season Tournament 1,2 ,31 ,5 ,4 ,1.3 ,3 ,– ,3 ,2 ,1 ,19 ,13 ,68% ,82% ,12 ,8 ,67% ,7 ,5 ,71% ,– ,– ,-,3 ,– ,,15.5 ,2.5 ,2.0 ,1.3 ,1.5 ,– ,1.5 ,1.0 ,0.5 ,9.5 ,6.5 ,68% ,82% ,6.0 ,4.0 ,67% ,3.5 ,2.5 ,71% ,– ,– ,-,1.5 ,– 
