,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
Heatcheck Gaming,24KDropOff,Playoffs,3 ,20 ,7 ,– ,– ,3 ,– ,2 ,2 ,– ,17 ,7 ,41% ,59% ,3 ,1 ,33% ,14 ,6 ,43% ,– ,– ,-,2 ,2 ,,6.7 ,2.3 ,– ,– ,1.0 ,– ,0.7 ,0.7 ,– ,5.7 ,2.3 ,41% ,59% ,1.0 ,0.3 ,33% ,4.7 ,2.0 ,43% ,– ,– ,-,0.7 ,0.7 
Raptors Uprising GC,AllHailTrey,Playoffs,1 ,3 ,– ,– ,– ,1 ,1 ,4 ,1 ,3 ,4 ,1 ,25% ,38% ,1 ,– ,– ,3 ,1 ,33% ,– ,– ,-,– ,– ,,3.0 ,– ,– ,– ,1.0 ,1.0 ,4.0 ,1.0 ,3.0 ,4.0 ,1.0 ,25% ,38% ,1.0 ,– ,– ,3.0 ,1.0 ,33% ,– ,– ,-,– ,– 
Wizards District Gaming,BooPainter,Playoffs,1 ,45 ,2 ,1 ,2.0 ,1 ,– ,6 ,3 ,3 ,30 ,21 ,70% ,70% ,30 ,21 ,70% ,– ,– ,-,5 ,3 ,60% ,5 ,5 ,,45.0 ,2.0 ,1.0 ,2.0 ,1.0 ,– ,6.0 ,3.0 ,3.0 ,30.0 ,21.0 ,70% ,70% ,30.0 ,21.0 ,70% ,– ,– ,-,5.0 ,3.0 ,60% ,5.0 ,5.0 
Blazers Gaming,DatBoyShotz,Playoffs,1 ,18 ,1 ,1 ,1.0 ,2 ,– ,2 ,– ,2 ,14 ,8 ,57% ,64% ,10 ,6 ,60% ,4 ,2 ,50% ,1 ,– ,– ,4 ,1 ,,18.0 ,1.0 ,1.0 ,1.0 ,2.0 ,– ,2.0 ,– ,2.0 ,14.0 ,8.0 ,57% ,64% ,10.0 ,6.0 ,60% ,4.0 ,2.0 ,50% ,1.0 ,– ,– ,4.0 ,1.0 
Wizards District Gaming,DemonJT,Playoffs,1 ,23 ,4 ,1 ,4.0 ,1 ,– ,2 ,– ,2 ,14 ,9 ,64% ,79% ,7 ,5 ,71% ,7 ,4 ,57% ,2 ,1 ,50% ,3 ,1 ,,23.0 ,4.0 ,1.0 ,4.0 ,1.0 ,– ,2.0 ,– ,2.0 ,14.0 ,9.0 ,64% ,79% ,7.0 ,5.0 ,71% ,7.0 ,4.0 ,57% ,2.0 ,1.0 ,50% ,3.0 ,1.0 
Raptors Uprising GC,Detoxys,Playoffs,1 ,2 ,– ,– ,– ,– ,– ,– ,– ,– ,1 ,1 ,100% ,100% ,1 ,1 ,100% ,– ,– ,-,– ,– ,-,– ,– ,,2.0 ,– ,– ,– ,– ,– ,– ,– ,– ,1.0 ,1.0 ,100% ,100% ,1.0 ,1.0 ,100% ,– ,– ,-,– ,– ,-,– ,– 
Cavs Legion GC,Godddof2k,Playoffs,4 ,44 ,2 ,– ,– ,5 ,– ,1 ,– ,1 ,26 ,17 ,65% ,79% ,17 ,10 ,59% ,9 ,7 ,78% ,3 ,3 ,100% ,3 ,7 ,,11.0 ,0.5 ,– ,– ,1.3 ,– ,0.3 ,– ,0.3 ,6.5 ,4.3 ,65% ,79% ,4.3 ,2.5 ,59% ,2.3 ,1.8 ,78% ,0.8 ,0.8 ,100% ,0.8 ,1.8 
Knicks Gaming,Goofy757,Playoffs,4 ,93 ,8 ,7 ,1.1 ,3 ,12 ,55 ,24 ,31 ,59 ,44 ,75% ,75% ,59 ,44 ,75% ,– ,– ,-,8 ,5 ,63% ,5 ,9 ,,23.3 ,2.0 ,1.8 ,1.1 ,0.8 ,3.0 ,13.8 ,6.0 ,7.8 ,14.8 ,11.0 ,75% ,75% ,14.8 ,11.0 ,75% ,– ,– ,-,2.0 ,1.3 ,63% ,1.3 ,2.3 
Cavs Legion GC,Hood,Playoffs,4 ,113 ,58 ,7 ,8.3 ,4 ,– ,1 ,– ,1 ,96 ,45 ,47% ,52% ,72 ,36 ,50% ,24 ,9 ,38% ,15 ,14 ,93% ,18 ,6 ,,28.3 ,14.5 ,1.8 ,8.3 ,1.0 ,– ,0.3 ,– ,0.3 ,24.0 ,11.3 ,47% ,52% ,18.0 ,9.0 ,50% ,6.0 ,2.3 ,38% ,3.8 ,3.5 ,93% ,4.5 ,1.5 
Heatcheck Gaming,Hotshot,Playoffs,3 ,151 ,16 ,7 ,2.3 ,3 ,4 ,19 ,4 ,15 ,91 ,73 ,80% ,80% ,91 ,73 ,80% ,– ,– ,-,8 ,5 ,63% ,15 ,11 ,,50.3 ,5.3 ,2.3 ,2.3 ,1.0 ,1.3 ,6.3 ,1.3 ,5.0 ,30.3 ,24.3 ,80% ,80% ,30.3 ,24.3 ,80% ,– ,– ,-,2.7 ,1.7 ,63% ,5.0 ,3.7 
Knicks Gaming,IamAdamthe1st,Playoffs,4 ,121 ,45 ,15 ,3.0 ,5 ,1 ,9 ,5 ,4 ,87 ,48 ,55% ,63% ,59 ,34 ,58% ,28 ,14 ,50% ,11 ,11 ,100% ,20 ,9 ,,30.3 ,11.3 ,3.8 ,3.0 ,1.3 ,0.3 ,2.3 ,1.3 ,1.0 ,21.8 ,12.0 ,55% ,63% ,14.8 ,8.5 ,58% ,7.0 ,3.5 ,50% ,2.8 ,2.8 ,100% ,5.0 ,2.3 
Knicks Gaming,Idrisdagoat6,Playoffs,4 ,45 ,3 ,4 ,0.8 ,– ,1 ,10 ,2 ,8 ,28 ,17 ,61% ,70% ,18 ,12 ,67% ,10 ,5 ,50% ,6 ,6 ,100% ,9 ,2 ,,11.3 ,0.8 ,1.0 ,0.8 ,– ,0.3 ,2.5 ,0.5 ,2.0 ,7.0 ,4.3 ,61% ,70% ,4.5 ,3.0 ,67% ,2.5 ,1.3 ,50% ,1.5 ,1.5 ,100% ,2.3 ,0.5 
76ers GC,Ifeast,Playoffs,3 ,48 ,7 ,1 ,7.0 ,4 ,4 ,43 ,16 ,27 ,39 ,23 ,59% ,59% ,39 ,23 ,59% ,– ,– ,-,3 ,2 ,67% ,4 ,10 ,,16.0 ,2.3 ,0.3 ,7.0 ,1.3 ,1.3 ,14.3 ,5.3 ,9.0 ,13.0 ,7.7 ,59% ,59% ,13.0 ,7.7 ,59% ,– ,– ,-,1.0 ,0.7 ,67% ,1.3 ,3.3 
Pistons GT,Iinsanitty,Playoffs,1 ,5 ,6 ,2 ,3.0 ,– ,– ,1 ,1 ,– ,9 ,2 ,22% ,28% ,4 ,1 ,25% ,5 ,1 ,20% ,– ,– ,-,– ,1 ,,5.0 ,6.0 ,2.0 ,3.0 ,– ,– ,1.0 ,1.0 ,– ,9.0 ,2.0 ,22% ,28% ,4.0 ,1.0 ,25% ,5.0 ,1.0 ,20% ,– ,– ,-,– ,1.0 
