,,Raptors Uprising GC,AllHailTrey,Tip Off,3 ,30 ,4 ,3 ,1.3 ,3 ,1 ,15 ,– ,15 ,19 ,12 ,63% ,79% ,8 ,6 ,75% ,11 ,6 ,55% ,– ,– ,-,1 ,5 ,,10.0 ,1.3 ,1.0 ,1.3 ,1.0 ,0.3 ,5.0 ,– ,5.0 ,6.3 ,4.0 ,63% ,79% ,2.7 ,2.0 ,75% ,3.7 ,2.0 ,55% ,– ,– ,-,0.3 ,1.7 
,,Raptors Uprising GC,AllHailTrey,Regular Season,14 ,207 ,25 ,16 ,1.6 ,26 ,12 ,51 ,12 ,39 ,157 ,86 ,55% ,64% ,95 ,58 ,61% ,62 ,28 ,45% ,7 ,7 ,100% ,15 ,24 ,,14.8 ,1.8 ,1.1 ,1.6 ,1.9 ,0.9 ,3.6 ,0.9 ,2.8 ,11.2 ,6.1 ,55% ,64% ,6.8 ,4.1 ,61% ,4.4 ,2.0 ,45% ,0.5 ,0.5 ,100% ,1.1 ,1.7 
,,Raptors Uprising GC,AllHailTrey,Playoffs,1 ,3 ,– ,– ,– ,1 ,1 ,4 ,1 ,3 ,4 ,1 ,25% ,38% ,1 ,– ,– ,3 ,1 ,33% ,– ,– ,-,– ,– ,,3.0 ,– ,– ,– ,1.0 ,1.0 ,4.0 ,1.0 ,3.0 ,4.0 ,1.0 ,25% ,38% ,1.0 ,– ,– ,3.0 ,1.0 ,33% ,– ,– ,-,– ,– 
,,Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 2,1 ,22 ,2 ,– ,– ,1 ,1 ,2 ,– ,2 ,16 ,9 ,56% ,69% ,8 ,5 ,63% ,8 ,4 ,50% ,– ,– ,-,1 ,2 ,,22.0 ,2.0 ,– ,– ,1.0 ,1.0 ,2.0 ,– ,2.0 ,16.0 ,9.0 ,56% ,69% ,8.0 ,5.0 ,63% ,8.0 ,4.0 ,50% ,– ,– ,-,1.0 ,2.0 
,,Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 1,2 ,28 ,2 ,2 ,1.0 ,– ,– ,1 ,– ,1 ,15 ,10 ,67% ,93% ,2 ,2 ,100% ,13 ,8 ,62% ,– ,– ,-,1 ,1 ,,14.0 ,1.0 ,1.0 ,1.0 ,– ,– ,0.5 ,– ,0.5 ,7.5 ,5.0 ,67% ,93% ,1.0 ,1.0 ,100% ,6.5 ,4.0 ,62% ,– ,– ,-,0.5 ,0.5 
,,Raptors Uprising GC,Detoxys,Tip Off,3 ,26 ,1 ,2 ,0.5 ,– ,– ,7 ,– ,7 ,22 ,11 ,50% ,59% ,14 ,7 ,50% ,8 ,4 ,50% ,– ,– ,-,– ,3 ,,8.7 ,0.3 ,0.7 ,0.5 ,– ,– ,2.3 ,– ,2.3 ,7.3 ,3.7 ,50% ,59% ,4.7 ,2.3 ,50% ,2.7 ,1.3 ,50% ,– ,– ,-,– ,1.0 
,,Raptors Uprising GC,Detoxys,Regular Season,10 ,96 ,15 ,10 ,1.5 ,5 ,6 ,35 ,8 ,27 ,56 ,34 ,61% ,70% ,35 ,24 ,69% ,21 ,10 ,48% ,19 ,18 ,95% ,18 ,10 ,,9.6 ,1.5 ,1.0 ,1.5 ,0.5 ,0.6 ,3.5 ,0.8 ,2.7 ,5.6 ,3.4 ,61% ,70% ,3.5 ,2.4 ,69% ,2.1 ,1.0 ,48% ,1.9 ,1.8 ,95% ,1.8 ,1.0 
,,Raptors Uprising GC,Detoxys,Playoffs,1 ,2 ,– ,– ,– ,– ,– ,– ,– ,– ,1 ,1 ,100% ,100% ,1 ,1 ,100% ,– ,– ,-,– ,– ,-,– ,– ,,2.0 ,– ,– ,– ,– ,– ,– ,– ,– ,1.0 ,1.0 ,100% ,100% ,1.0 ,1.0 ,100% ,– ,– ,-,– ,– ,-,– ,– 
,,Raptors Uprising GC,Detoxys,Mid-Season Tournament 2,1 ,6 ,2 ,1 ,2.0 ,2 ,– ,5 ,2 ,3 ,7 ,3 ,43% ,43% ,5 ,3 ,60% ,2 ,– ,– ,– ,– ,-,– ,1 ,,6.0 ,2.0 ,1.0 ,2.0 ,2.0 ,– ,5.0 ,2.0 ,3.0 ,7.0 ,3.0 ,43% ,43% ,5.0 ,3.0 ,60% ,2.0 ,– ,– ,– ,– ,-,– ,1.0 
,,Raptors Uprising GC,Detoxys,Mid-Season Tournament 1,2 ,22 ,5 ,2 ,2.5 ,2 ,1 ,8 ,– ,8 ,11 ,8 ,73% ,91% ,6 ,4 ,67% ,5 ,4 ,80% ,2 ,2 ,100% ,1 ,4 ,,11.0 ,2.5 ,1.0 ,2.5 ,1.0 ,0.5 ,4.0 ,– ,4.0 ,5.5 ,4.0 ,73% ,91% ,3.0 ,2.0 ,67% ,2.5 ,2.0 ,80% ,1.0 ,1.0 ,100% ,0.5 ,2.0 
,,Raptors Uprising GC,Kenny,Tip Off,3 ,48 ,21 ,6 ,3.5 ,4 ,– ,2 ,– ,2 ,36 ,21 ,58% ,63% ,29 ,18 ,62% ,7 ,3 ,43% ,4 ,3 ,75% ,9 ,8 ,,16.0 ,7.0 ,2.0 ,3.5 ,1.3 ,– ,0.7 ,– ,0.7 ,12.0 ,7.0 ,58% ,63% ,9.7 ,6.0 ,62% ,2.3 ,1.0 ,43% ,1.3 ,1.0 ,75% ,3.0 ,2.7 
