,,Warriors Gaming Squad,Bsmoove,Tip Off,4 ,49 ,11 ,11 ,1.0 ,3 ,– ,10 ,3 ,7 ,32 ,21 ,66% ,69% ,28 ,19 ,68% ,4 ,2 ,50% ,5 ,5 ,100% ,12 ,12 ,,12.3 ,2.8 ,2.8 ,1.0 ,0.8 ,– ,2.5 ,0.8 ,1.8 ,8.0 ,5.3 ,66% ,69% ,7.0 ,4.8 ,68% ,1.0 ,0.5 ,50% ,1.3 ,1.3 ,100% ,3.0 ,3.0 
,,Warriors Gaming Squad,Bsmoove,Regular Season,13 ,169 ,66 ,24 ,2.8 ,12 ,3 ,24 ,2 ,22 ,127 ,69 ,54% ,65% ,71 ,42 ,59% ,56 ,27 ,48% ,5 ,4 ,80% ,20 ,23 ,,13.0 ,5.1 ,1.8 ,2.8 ,0.9 ,0.2 ,1.8 ,0.2 ,1.7 ,9.8 ,5.3 ,54% ,65% ,5.5 ,3.2 ,59% ,4.3 ,2.1 ,48% ,0.4 ,0.3 ,80% ,1.5 ,1.8 
,,Warriors Gaming Squad,Bsmoove,Mid-Season Tournament 2,1 ,6 ,4 ,4 ,1.0 ,– ,– ,6 ,1 ,5 ,6 ,3 ,50% ,50% ,3 ,3 ,100% ,3 ,– ,– ,– ,– ,-,2 ,1 ,,6.0 ,4.0 ,4.0 ,1.0 ,– ,– ,6.0 ,1.0 ,5.0 ,6.0 ,3.0 ,50% ,50% ,3.0 ,3.0 ,100% ,3.0 ,– ,– ,– ,– ,-,2.0 ,1.0 
,,Warriors Gaming Squad,Bsmoove,Mid-Season Tournament 1,2 ,15 ,3 ,4 ,0.8 ,2 ,– ,– ,– ,– ,11 ,6 ,55% ,64% ,6 ,4 ,67% ,5 ,2 ,40% ,2 ,1 ,50% ,3 ,3 ,,7.5 ,1.5 ,2.0 ,0.8 ,1.0 ,– ,– ,– ,– ,5.5 ,3.0 ,55% ,64% ,3.0 ,2.0 ,67% ,2.5 ,1.0 ,40% ,1.0 ,0.5 ,50% ,1.5 ,1.5 
,,Warriors Gaming Squad,Lykapro,Tip Off,4 ,23 ,28 ,6 ,4.7 ,1 ,– ,2 ,– ,2 ,26 ,9 ,35% ,40% ,13 ,6 ,46% ,13 ,3 ,23% ,2 ,2 ,100% ,9 ,7 ,,5.8 ,7.0 ,1.5 ,4.7 ,0.3 ,– ,0.5 ,– ,0.5 ,6.5 ,2.3 ,35% ,40% ,3.3 ,1.5 ,46% ,3.3 ,0.8 ,23% ,0.5 ,0.5 ,100% ,2.3 ,1.8 
,,Warriors Gaming Squad,Lykapro,Regular Season,13 ,188 ,77 ,26 ,3.0 ,13 ,1 ,9 ,2 ,7 ,137 ,77 ,56% ,62% ,98 ,61 ,62% ,39 ,16 ,41% ,19 ,18 ,95% ,34 ,22 ,,14.5 ,5.9 ,2.0 ,3.0 ,1.0 ,0.1 ,0.7 ,0.2 ,0.5 ,10.5 ,5.9 ,56% ,62% ,7.5 ,4.7 ,62% ,3.0 ,1.2 ,41% ,1.5 ,1.4 ,95% ,2.6 ,1.7 
,,Warriors Gaming Squad,Lykapro,Mid-Season Tournament 2,1 ,10 ,5 ,5 ,1.0 ,– ,– ,– ,– ,– ,5 ,3 ,60% ,80% ,2 ,1 ,50% ,3 ,2 ,67% ,2 ,2 ,100% ,4 ,1 ,,10.0 ,5.0 ,5.0 ,1.0 ,– ,– ,– ,– ,– ,5.0 ,3.0 ,60% ,80% ,2.0 ,1.0 ,50% ,3.0 ,2.0 ,67% ,2.0 ,2.0 ,100% ,4.0 ,1.0 
,,Warriors Gaming Squad,Lykapro,Mid-Season Tournament 1,2 ,25 ,15 ,4 ,3.8 ,2 ,– ,1 ,– ,1 ,20 ,11 ,55% ,58% ,13 ,10 ,77% ,7 ,1 ,14% ,2 ,2 ,100% ,9 ,7 ,,12.5 ,7.5 ,2.0 ,3.8 ,1.0 ,– ,0.5 ,– ,0.5 ,10.0 ,5.5 ,55% ,58% ,6.5 ,5.0 ,77% ,3.5 ,0.5 ,14% ,1.0 ,1.0 ,100% ,4.5 ,3.5 
,,Warriors Gaming Squad,ShawnWin,Tip Off,4 ,31 ,6 ,5 ,1.2 ,2 ,– ,– ,– ,– ,19 ,10 ,53% ,76% ,3 ,1 ,33% ,16 ,9 ,56% ,2 ,2 ,100% ,3 ,2 ,,7.8 ,1.5 ,1.3 ,1.2 ,0.5 ,– ,– ,– ,– ,4.8 ,2.5 ,53% ,76% ,0.8 ,0.3 ,33% ,4.0 ,2.3 ,56% ,0.5 ,0.5 ,100% ,0.8 ,0.5 
,,Warriors Gaming Squad,ShawnWin,Regular Season,10 ,99 ,20 ,14 ,1.4 ,5 ,– ,35 ,19 ,16 ,86 ,39 ,45% ,52% ,45 ,27 ,60% ,41 ,12 ,29% ,9 ,9 ,100% ,10 ,3 ,,9.9 ,2.0 ,1.4 ,1.4 ,0.5 ,– ,3.5 ,1.9 ,1.6 ,8.6 ,3.9 ,45% ,52% ,4.5 ,2.7 ,60% ,4.1 ,1.2 ,29% ,0.9 ,0.9 ,100% ,1.0 ,0.3 
