,,Wizards District Gaming,BooPainter,Tip Off,3 ,68 ,14 ,5 ,2.8 ,6 ,4 ,24 ,7 ,17 ,45 ,29 ,64% ,66% ,42 ,28 ,67% ,3 ,1 ,33% ,9 ,9 ,100% ,13 ,11 ,,22.7 ,4.7 ,1.7 ,2.8 ,2.0 ,1.3 ,8.0 ,2.3 ,5.7 ,15.0 ,9.7 ,64% ,66% ,14.0 ,9.3 ,67% ,1.0 ,0.3 ,33% ,3.0 ,3.0 ,100% ,4.3 ,3.7 
,,Wizards District Gaming,BooPainter,Regular Season,14 ,464 ,70 ,43 ,1.6 ,18 ,23 ,107 ,38 ,69 ,304 ,212 ,70% ,70% ,304 ,212 ,70% ,– ,– ,-,53 ,40 ,76% ,63 ,49 ,,33.1 ,5.0 ,3.1 ,1.6 ,1.3 ,1.6 ,7.6 ,2.7 ,4.9 ,21.7 ,15.1 ,70% ,70% ,21.7 ,15.1 ,70% ,– ,– ,-,3.8 ,2.9 ,76% ,4.5 ,3.5 
,,Wizards District Gaming,BooPainter,Playoffs,1 ,45 ,2 ,1 ,2.0 ,1 ,– ,6 ,3 ,3 ,30 ,21 ,70% ,70% ,30 ,21 ,70% ,– ,– ,-,5 ,3 ,60% ,5 ,5 ,,45.0 ,2.0 ,1.0 ,2.0 ,1.0 ,– ,6.0 ,3.0 ,3.0 ,30.0 ,21.0 ,70% ,70% ,30.0 ,21.0 ,70% ,– ,– ,-,5.0 ,3.0 ,60% ,5.0 ,5.0 
,,Wizards District Gaming,BooPainter,Mid-Season Tournament 2,2 ,74 ,13 ,9 ,1.4 ,4 ,– ,11 ,3 ,8 ,52 ,35 ,67% ,67% ,51 ,35 ,69% ,1 ,– ,– ,8 ,4 ,50% ,14 ,7 ,,37.0 ,6.5 ,4.5 ,1.4 ,2.0 ,– ,5.5 ,1.5 ,4.0 ,26.0 ,17.5 ,67% ,67% ,25.5 ,17.5 ,69% ,0.5 ,– ,– ,4.0 ,2.0 ,50% ,7.0 ,3.5 
,,Wizards District Gaming,BooPainter,Mid-Season Tournament 1,2 ,73 ,5 ,3 ,1.7 ,2 ,4 ,19 ,7 ,12 ,43 ,31 ,72% ,73% ,41 ,30 ,73% ,2 ,1 ,50% ,10 ,10 ,100% ,10 ,7 ,,36.5 ,2.5 ,1.5 ,1.7 ,1.0 ,2.0 ,9.5 ,3.5 ,6.0 ,21.5 ,15.5 ,72% ,73% ,20.5 ,15.0 ,73% ,1.0 ,0.5 ,50% ,5.0 ,5.0 ,100% ,5.0 ,3.5 
,,Warriors Gaming Squad,Bsmoove,Tip Off,4 ,49 ,11 ,11 ,1.0 ,3 ,– ,10 ,3 ,7 ,32 ,21 ,66% ,69% ,28 ,19 ,68% ,4 ,2 ,50% ,5 ,5 ,100% ,12 ,12 ,,12.3 ,2.8 ,2.8 ,1.0 ,0.8 ,– ,2.5 ,0.8 ,1.8 ,8.0 ,5.3 ,66% ,69% ,7.0 ,4.8 ,68% ,1.0 ,0.5 ,50% ,1.3 ,1.3 ,100% ,3.0 ,3.0 
,,Warriors Gaming Squad,Bsmoove,Regular Season,13 ,169 ,66 ,24 ,2.8 ,12 ,3 ,24 ,2 ,22 ,127 ,69 ,54% ,65% ,71 ,42 ,59% ,56 ,27 ,48% ,5 ,4 ,80% ,20 ,23 ,,13.0 ,5.1 ,1.8 ,2.8 ,0.9 ,0.2 ,1.8 ,0.2 ,1.7 ,9.8 ,5.3 ,54% ,65% ,5.5 ,3.2 ,59% ,4.3 ,2.1 ,48% ,0.4 ,0.3 ,80% ,1.5 ,1.8 
,,Warriors Gaming Squad,Bsmoove,Mid-Season Tournament 2,1 ,6 ,4 ,4 ,1.0 ,– ,– ,6 ,1 ,5 ,6 ,3 ,50% ,50% ,3 ,3 ,100% ,3 ,– ,– ,– ,– ,-,2 ,1 ,,6.0 ,4.0 ,4.0 ,1.0 ,– ,– ,6.0 ,1.0 ,5.0 ,6.0 ,3.0 ,50% ,50% ,3.0 ,3.0 ,100% ,3.0 ,– ,– ,– ,– ,-,2.0 ,1.0 
,,Warriors Gaming Squad,Bsmoove,Mid-Season Tournament 1,2 ,15 ,3 ,4 ,0.8 ,2 ,– ,– ,– ,– ,11 ,6 ,55% ,64% ,6 ,4 ,67% ,5 ,2 ,40% ,2 ,1 ,50% ,3 ,3 ,,7.5 ,1.5 ,2.0 ,0.8 ,1.0 ,– ,– ,– ,– ,5.5 ,3.0 ,55% ,64% ,3.0 ,2.0 ,67% ,2.5 ,1.0 ,40% ,1.0 ,0.5 ,50% ,1.5 ,1.5 
,,Wizards District Gaming,DemonJT,Tip Off,3 ,51 ,21 ,15 ,1.4 ,6 ,– ,2 ,– ,2 ,40 ,21 ,53% ,63% ,18 ,13 ,72% ,22 ,8 ,36% ,1 ,1 ,100% ,7 ,10 ,,17.0 ,7.0 ,5.0 ,1.4 ,2.0 ,– ,0.7 ,– ,0.7 ,13.3 ,7.0 ,53% ,63% ,6.0 ,4.3 ,72% ,7.3 ,2.7 ,36% ,0.3 ,0.3 ,100% ,2.3 ,3.3 
,,Wizards District Gaming,DemonJT,Regular Season,14 ,179 ,69 ,26 ,2.7 ,12 ,1 ,15 ,4 ,11 ,145 ,75 ,52% ,59% ,96 ,54 ,56% ,49 ,21 ,43% ,8 ,8 ,100% ,20 ,25 ,,12.8 ,4.9 ,1.9 ,2.7 ,0.9 ,0.1 ,1.1 ,0.3 ,0.8 ,10.4 ,5.4 ,52% ,59% ,6.9 ,3.9 ,56% ,3.5 ,1.5 ,43% ,0.6 ,0.6 ,100% ,1.4 ,1.8 
,,Wizards District Gaming,DemonJT,Playoffs,1 ,23 ,4 ,1 ,4.0 ,1 ,– ,2 ,– ,2 ,14 ,9 ,64% ,79% ,7 ,5 ,71% ,7 ,4 ,57% ,2 ,1 ,50% ,3 ,1 ,,23.0 ,4.0 ,1.0 ,4.0 ,1.0 ,– ,2.0 ,– ,2.0 ,14.0 ,9.0 ,64% ,79% ,7.0 ,5.0 ,71% ,7.0 ,4.0 ,57% ,2.0 ,1.0 ,50% ,3.0 ,1.0 
,,Wizards District Gaming,DemonJT,Mid-Season Tournament 2,2 ,15 ,6 ,3 ,2.0 ,2 ,– ,1 ,– ,1 ,12 ,6 ,50% ,63% ,5 ,3 ,60% ,7 ,3 ,43% ,– ,– ,-,1 ,4 ,,7.5 ,3.0 ,1.5 ,2.0 ,1.0 ,– ,0.5 ,– ,0.5 ,6.0 ,3.0 ,50% ,63% ,2.5 ,1.5 ,60% ,3.5 ,1.5 ,43% ,– ,– ,-,0.5 ,2.0 
,,Wizards District Gaming,DemonJT,Mid-Season Tournament 1,2 ,25 ,10 ,7 ,1.4 ,1 ,– ,1 ,– ,1 ,20 ,9 ,45% ,50% ,11 ,7 ,64% ,9 ,2 ,22% ,5 ,5 ,100% ,6 ,1 ,,12.5 ,5.0 ,3.5 ,1.4 ,0.5 ,– ,0.5 ,– ,0.5 ,10.0 ,4.5 ,45% ,50% ,5.5 ,3.5 ,64% ,4.5 ,1.0 ,22% ,2.5 ,2.5 ,100% ,3.0 ,0.5 
,,Wizards District Gaming,Jin,Tip Off,3 ,46 ,11 ,2 ,5.5 ,1 ,– ,2 ,2 ,– ,29 ,19 ,66% ,76% ,20 ,13 ,65% ,9 ,6 ,67% ,3 ,2 ,67% ,3 ,7 ,,15.3 ,3.7 ,0.7 ,5.5 ,0.3 ,– ,0.7 ,0.7 ,– ,9.7 ,6.3 ,66% ,76% ,6.7 ,4.3 ,65% ,3.0 ,2.0 ,67% ,1.0 ,0.7 ,67% ,1.0 ,2.3 
